Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology
09/20/2020,09/21/2020,Owls Head,OH,2762.00,1000000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,RT-qPCR
09/20/2020,09/21/2020,Port Richmond,PR,850.00,312000.00,,226167,RT-qPCR
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR
09/20/2020,09/21/2020,Rockaway,RK,628.00,414000.00,,120539,RT-qPCR
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR
09/20/2020,09/21/2020,Wards Island,WI,1250.00,681000.00,,1201485,RT-qPCR
09/22/2020,09/23/2020,26th Ward,26W,835.00,479000.00,,290608,RT-qPCR
09/22/2020,09/23/2020,Bowery Bay,BB,289.00,107000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695,RT-qPCR
09/22/2020,09/23/2020,Coney Island,CI,271.00,125000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),682342,RT-qPCR
09/22/2020,09/23/2020,Hunts Point,HP,293.00,169000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR
09/22/2020,09/23/2020,Jamaica Bay,JA,4625.00,1660000.00,,748737,RT-qPCR
09/22/2020,09/23/2020,Newtown Creek,NC,413.00,253000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),1156473,RT-qPCR
09/22/2020,09/23/2020,North River,NR,,,Concentration below Method Limit of Detection,658596,RT-qPCR
09/22/2020,09/23/2020,Oakwood Beach,OB,1525.00,533000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,258731,RT-qPCR
09/22/2020,09/23/2020,Owls Head,OH,1011.00,363000.00,,906442,RT-qPCR
09/22/2020,09/23/2020,Port Richmond,PR,,,"Concentration below Method Limit of DetectionNo signal is 2 out of 3 RT-qPCR wells, result in obtained by averaging signal from the remaining RT-qPCR well",226167,RT-qPCR
09/22/2020,09/23/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR
09/22/2020,09/23/2020,Rockaway,RK,,,Concentration below Method Limit of Detection,120539,RT-qPCR
09/22/2020,09/23/2020,Tallman Island,TI,259.00,105000.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR
09/22/2020,09/23/2020,Wards Island,WI,,,Concentration below Method Limit of Detection,1201485,RT-qPCR
09/27/2020,09/30/2020,26th Ward,26W,1960.00,1230000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",290608,RT-qPCR
09/27/2020,09/28/2020,Bowery Bay,BB,1416.00,516000.00,,924695,RT-qPCR
09/27/2020,09/28/2020,Coney Island,CI,1714.00,875000.00,,682342,RT-qPCR
09/27/2020,09/28/2020,Hunts Point,HP,781.00,473000.00,,755948,RT-qPCR
09/27/2020,09/28/2020,Jamaica Bay,JA,753.00,289000.00,This sample was analyzed in duplicate. The higher of the 2 results is reported,748737,RT-qPCR
09/27/2020,09/28/2020,Newtown Creek,NC,1007.00,567000.00,,1156473,RT-qPCR
09/27/2020,09/30/2020,North River,NR,1066.00,508000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",658596,RT-qPCR
09/27/2020,09/28/2020,Oakwood Beach,OB,646.00,227000.00,"No signal in 1 out of 3 RT-qPCR wells, result is obtained by averaging signal from the two remaining RT-qPCR wells",258731,RT-qPCR
09/27/2020,09/30/2020,Owls Head,OH,5174.00,1920000.00,"Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",906442,RT-qPCR
09/27/2020,09/28/2020,Port Richmond,PR,1715.00,657000.00,,226167,RT-qPCR
09/27/2020,09/28/2020,Red Hook,RH,214.00,83300.00,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR
09/27/2020,09/28/2020,Rockaway,RK,,,Analytical issue,120539,RT-qPCR
09/27/2020,09/30/2020,Tallman Island,TI,416.00,182000.00,"Concentration below Method Limit of Quantification (above Method Limit of Detection) - Original RT-qPCR (9/28/2020) failed, RT-qPCR repeated",449907,RT-qPCR
09/27/2020,09/28/2020,Wards Island,WI,,,Analytical issue,1201485,RT-qPCR
09/29/2020,09/30/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608,RT-qPCR
09/29/2020,09/30/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695,RT-qPCR
09/29/2020,09/30/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342,RT-qPCR
09/29/2020,09/30/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948,RT-qPCR
09/29/2020,09/30/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737,RT-qPCR
09/29/2020,09/30/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473,RT-qPCR
09/29/2020,09/30/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596,RT-qPCR
09/29/2020,09/30/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731,RT-qPCR
09/29/2020,09/30/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442,RT-qPCR
09/29/2020,09/30/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167,RT-qPCR
09/29/2020,09/30/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029,RT-qPCR
09/29/2020,09/30/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539,RT-qPCR
09/29/2020,09/30/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907,RT-qPCR
09/29/2020,09/30/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485,RT-qPCR
10/04/2020,10/05/2020,26th Ward,26W,,,This result is not useable (because associated with contaminated method blank),290608,RT-qPCR
10/04/2020,10/05/2020,Bowery Bay,BB,,,This result is not useable (because associated with contaminated method blank),924695,RT-qPCR
10/04/2020,10/05/2020,Coney Island,CI,,,This result is not useable (because associated with contaminated method blank),682342,RT-qPCR
10/04/2020,10/05/2020,Hunts Point,HP,,,This result is not useable (because associated with contaminated method blank),755948,RT-qPCR
10/04/2020,10/05/2020,Jamaica Bay,JA,,,This result is not useable (because associated with contaminated method blank),748737,RT-qPCR
10/04/2020,10/05/2020,Newtown Creek,NC,,,This result is not useable (because associated with contaminated method blank),1156473,RT-qPCR
10/04/2020,10/05/2020,North River,NR,,,This result is not useable (because associated with contaminated method blank),658596,RT-qPCR
10/04/2020,10/05/2020,Oakwood Beach,OB,,,This result is not useable (because associated with contaminated method blank),258731,RT-qPCR
10/04/2020,10/05/2020,Owls Head,OH,,,This result is not useable (because associated with contaminated method blank),906442,RT-qPCR
10/04/2020,10/05/2020,Port Richmond,PR,,,This result is not useable (because associated with contaminated method blank),226167,RT-qPCR
10/04/2020,10/05/2020,Red Hook,RH,,,This result is not useable (because associated with contaminated method blank),224029,RT-qPCR
10/04/2020,10/05/2020,Rockaway,RK,,,This result is not useable (because associated with contaminated method blank),120539,RT-qPCR
10/04/2020,10/05/2020,Tallman Island,TI,,,This result is not useable (because associated with contaminated method blank),449907,RT-qPCR
10/04/2020,10/05/2020,Wards Island,WI,,,This result is not useable (because associated with contaminated method blank),1201485,RT-qPCR
10/06/2020,10/07/2020,26th Ward,26W,1169.00,700000.00,,290608,RT-qPCR
10/06/2020,10/07/2020,Bowery Bay,BB,2800.00,963000.00,,924695,RT-qPCR
10/06/2020,10/07/2020,Coney Island,CI,7238.00,3250000.00,,682342,RT-qPCR
10/06/2020,10/07/2020,Hunts Point,HP,1051.00,605000.00,,755948,RT-qPCR
