Sample Date,Test date,WRRF Name,WRRF Abbreviation,Concentration SARS-CoV-2 gene target (N1 Copies/L) ,Per capita SARS-CoV-2 load (N1 copies per day per population),Annotation,"Population Served, estimated ",Technology,Is Correct Abbreviation,Expected Abbreviation
09/15/2020,09/16/2020,Port Richmond,PR,247.0,95800.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),226167,RT-qPCR,True,PR
09/15/2020,09/16/2020,Red Hook,RH,275.0,107000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),224029,RT-qPCR,True,RH
09/15/2020,09/16/2020,Rockaway,RK,,,Analytical issue,120539,RT-qPCR,False,R
09/15/2020,09/16/2020,Tallman Island,TI,264.0,111000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),449907,RT-qPCR,True,TI
09/15/2020,09/16/2020,Wards Island,WI,316.0,183000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),1201485,RT-qPCR,True,WI
09/20/2020,09/21/2020,26th Ward,26W,432.0,264000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),290608,RT-qPCR,True,26W
09/20/2020,09/21/2020,Bowery Bay,BB,1425.0,537000.0,,924695,RT-qPCR,True,BB
09/20/2020,09/21/2020,Coney Island,CI,18543.0,8330000.0,,682342,RT-qPCR,True,CI
09/20/2020,09/21/2020,Hunts Point,HP,568.0,338000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),755948,RT-qPCR,True,HP
09/20/2020,09/21/2020,Jamaica Bay,JA,801.0,304000.0,,748737,RT-qPCR,False,JB
09/20/2020,09/21/2020,Newtown Creek,NC,834.0,442000.0,,1156473,RT-qPCR,True,NC
09/20/2020,09/21/2020,North River,NR,991.0,495000.0,,658596,RT-qPCR,True,NR
09/20/2020,09/21/2020,Oakwood Beach,OB,644.0,224000.0,,258731,RT-qPCR,True,OB
09/20/2020,09/21/2020,Owls Head,OH,2762.0,1000000.0,This sample was analyzed in duplicate. The higher of the 2 results is reported,906442,RT-qPCR,True,OH
09/20/2020,09/21/2020,Port Richmond,PR,850.0,312000.0,,226167,RT-qPCR,True,PR
09/20/2020,09/21/2020,Red Hook,RH,,,Concentration below Method Limit of Detection,224029,RT-qPCR,True,RH
09/20/2020,09/21/2020,Rockaway,RK,628.0,414000.0,,120539,RT-qPCR,False,R
09/20/2020,09/21/2020,Tallman Island,TI,,,Possible analytical issue,449907,RT-qPCR,True,TI
09/20/2020,09/21/2020,Wards Island,WI,1250.0,681000.0,,1201485,RT-qPCR,True,WI
09/22/2020,09/23/2020,26th Ward,26W,835.0,479000.0,,290608,RT-qPCR,True,26W
09/22/2020,09/23/2020,Bowery Bay,BB,289.0,107000.0,Concentration below Method Limit of Quantification (above Method Limit of Detection),924695,RT-qPCR,True,BB
